Organism,Scaffold,Start,End,Score,CAC36752.1,CAC36755.1,CAC36756.1,CAC36757.1,CAC36759.1,CAC36760.1,CAC36765.1,CAC36766.1,CAC36767.1,CAC36769.1,CAC36770.1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000029.1,741,18528,21.6523,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,BAAASK010000029.1,741,18528,21.6463,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000053.1,5699,23486,21.6523,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 3037,BMPR01000053.1,5699,23486,21.6392,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109276.1,231764,249549,21.6544,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC000080,NZ_JBEPFK010000016.1,11392,29179,21.6523,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000024.1,89579,107366,21.6523,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109103.1,90695,108487,21.6528,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000023.1,27029,44816,21.6539,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus SID7739,NZ_JAAGMQ010000304.1,28563,46350,21.6530,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus SID7739,JAAGMQ010000304.1,28563,46350,21.6523,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC059658,NZ_JBHWEC010000023.1,56827,74615,21.6534,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC018032,NZ_JBIRFS010000023.1,104427,122213,21.6216,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC085456,NZ_JBITTP010000026.1,97574,115362,21.6564,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000046.1,14690,32477,21.6556,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. E5N91,NZ_RAIE01000817.1,13453,31247,21.6532,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC052727,NZ_JBFATK010000007.1,137497,156020,21.5495,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC052721,NZ_JBFATL010000052.1,29119,47639,21.5564,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL S-31,NZ_JOCB01000032.1,15635,33509,18.4334,1,1,1,1,1,1,0,1,1,1,1
Streptomyces sp. NBC_01336,NZ_CP108369.1,82956,103948,21.3935,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. AC512_CC834,NZ_JAGMUO010000026.1,17625,36069,20.3921,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005423,NZ_JBEXET010000025.1,88817,107124,17.3633,1,1,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC102282,NZ_JBIWLR010000022.1,32057,55353,20.3990,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_00503,NZ_CP107856.1,113893,148453,8.1724,0,0,0,1,1,0,0,1,1,1,1
Streptomyces coelicolor,KC907349.1,231548,249334,21.6589,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2),AJ276673.1,2351,20139,21.6528,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2),AL589148.1,231675,249461,21.6589,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_00656 NBC 00656,NZ_CP109033.1,9494360,9515536,21.3910,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_00656 NBC 00656,CP109033.1,60037,81213,21.3910,1,1,1,1,1,1,1,1,1,1,1
Streptomyces poriferorum Alt2,NZ_CP120988.1,71029,93085,21.3921,1,1,1,1,1,1,1,1,1,1,1
Streptomyces poriferorum Alt4,NZ_JARVXU010000002.1,70368,92424,21.3921,1,1,1,1,1,1,1,1,1,1,1
Streptomyces kaempferi CGMCC 4.7020,NZ_JBHSKH010000016.1,1346,24094,20.3946,1,1,1,1,1,1,1,1,1,1,1
Streptomyces kaempferi CGMCC 4.7020,JBHTMQ010000012.1,603908,626631,17.3325,1,1,1,1,0,1,1,1,1,1,1
Streptomyces ziwulingensis JCM 18081,NZ_BAABIG010000007.1,161319,179865,20.3948,1,1,1,1,1,1,1,1,1,1,1
Streptomyces ziwulingensis JCM 18081,BAABIG010000007.1,161319,179712,20.3925,1,1,1,1,1,1,1,1,1,1,1
Streptomyces mirabilis NBC_01472,NZ_JAPEPS010000003.1,330264,353744,20.3962,1,1,1,1,1,1,1,1,1,1,1
Streptomyces mirabilis ATCC 31561,JAPTYI010000003.1,106406,125096,20.3967,1,1,1,1,1,1,1,1,1,1,1
Amycolatopsis japonica NPDC089911,NZ_JBIVGJ010000024.1,86874,101246,15.2863,1,1,1,1,1,1,0,1,1,1,1
Amycolatopsis roodepoortensis DSM 46661,NZ_JADBEJ010000005.1,3423249,3437818,15.2837,1,1,1,1,1,1,0,1,1,1,1
Amycolatopsis roodepoortensis CGMCC 4.7678,NZ_JBHRWJ010000008.1,70356,84925,15.2837,1,1,1,1,1,1,0,1,1,1,1
