Organism,Scaffold,Start,End,Score,CAB60185.1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000003.1,2086,3031,1.0635,1
Streptomyces violaceolatus JCM 4531,BAAASK010000003.1,2086,2932,1.0568,1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000005.1,460372,461317,1.0635,1
Streptomyces anthocyanicus JCM 3037,BMPR01000005.1,460390,461317,1.0622,1
Streptomyces anthocyanicus JCM 4739,NZ_BMVQ01000004.1,2003,2948,1.0635,1
Streptomyces anthocyanicus JCM 4739,BMVQ01000004.1,2003,2930,1.0622,1
Streptomyces anthocyanicus JCM 5058,NZ_BMWI01000013.1,240709,241654,1.0635,1
Streptomyces anthocyanicus JCM 5058,BMWI01000013.1,240808,241654,1.0568,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,6748045,6748990,1.0635,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,1572572,1573517,1.0635,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,1781172,1782117,1.0635,1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,1843202,1844147,1.0635,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,1888813,1889758,1.0635,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,1536484,1537429,1.0635,1
Streptomyces anthocyanicus IPS92w,NZ_JAPFQR010000074.1,7141,8086,1.0635,1
Streptomyces anthocyanicus NPDC000080,NZ_JBEPFK010000534.1,2170,3115,1.0635,1
Streptomyces anthocyanicus NPDC005018,NZ_JBEXIZ010000007.1,2155,3100,1.0635,1
Streptomyces anthocyanicus NPDC003196,NZ_JBEXNH010000006.1,291577,292522,1.0635,1
Streptomyces anthocyanicus NPDC020086,NZ_JBEXZZ010000042.1,72805,73750,1.0635,1
Streptomyces anthocyanicus NPDC020081,NZ_JBEYAA010000007.1,3480,4425,1.0635,1
Streptomyces anthocyanicus NPDC006946,NZ_JBEYIB010000054.1,2006,2951,1.0635,1
Streptomyces anthocyanicus NPDC048681,NZ_JBEZHC010000063.1,48682,49627,1.0635,1
Streptomyces anthocyanicus NPDC048675,NZ_JBEZHF010000008.1,2339,3284,1.0635,1
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000108.1,2697,3642,1.0635,1
Streptomyces anthocyanicus NPDC057113,NZ_JBHUUJ010000039.1,73249,74194,1.0635,1
Streptomyces anthocyanicus NPDC057145,NZ_JBHUVC010000009.1,210327,211272,1.0635,1
Streptomyces anthocyanicus NPDC057436,NZ_JBHVDB010000040.1,2570,3515,1.0635,1
Streptomyces anthocyanicus NPDC060051,NZ_JBHWVX010000009.1,3041,3986,1.0635,1
Streptomyces anthocyanicus NPDC060099,NZ_JBHWXH010000107.1,25665,26610,1.0635,1
Streptomyces anthocyanicus NPDC060100,NZ_JBHWXI010000056.1,125,1070,1.0635,1
Streptomyces anthocyanicus NPDC060102,NZ_JBHWXJ010000005.1,2048,2993,1.0635,1
Streptomyces anthocyanicus NPDC060103,NZ_JBHWXK010000041.1,2048,2993,1.0635,1
Streptomyces anthocyanicus NPDC060105,NZ_JBHWXL010000019.1,3041,3986,1.0635,1
Streptomyces anthocyanicus NPDC060106,NZ_JBHWXM010000004.1,618253,619198,1.0635,1
Streptomyces anthocyanicus NPDC127065,NZ_JBHXEK010000046.1,3213,4158,1.0635,1
Streptomyces anthocyanicus NPDC058696,NZ_JBHXST010000011.1,291628,292573,1.0635,1
Streptomyces anthocyanicus NPDC059397,NZ_JBHYWQ010000011.1,2048,2993,1.0635,1
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000009.1,2006,2951,1.0635,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000004.1,627715,628660,1.0635,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000043.1,2064,3009,1.0635,1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000003.1,3128,4073,1.0635,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000013.1,291404,292349,1.0635,1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000011.1,333855,334800,1.0635,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000013.1,212369,213314,1.0635,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000013.1,2444,3389,1.0635,1
Streptomyces anthocyanicus NPDC096390,NZ_JBIWFA010000003.1,616762,617707,1.0635,1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000004.1,4111,5056,1.0635,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,6876866,6877811,1.0635,1
Streptomyces anthocyanicus NPDC052222,NZ_JBFAVF010000010.1,283221,284166,1.0602,1
Streptomyces lividans 1326,NZ_CM001889.1,6969578,6970523,1.0635,1
Streptomyces lividans 1326,CM001889.1,6969677,6970523,1.0568,1
Streptomyces lividans TK24,NZ_CP009124.1,1563775,1564720,1.0635,1
Streptomyces lividans TK24 DG2-P41,CP071123.1,1570735,1571680,1.0635,1
Streptomyces lividans TK24-YQS040,CP071800.1,1569427,1570372,1.0635,1
Streptomyces lividans TK23,AP025539.1,6752989,6753916,1.0622,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,6891406,6892351,1.0635,1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000009.1,3972,4917,1.0635,1
Streptomyces coelicolor A3(2),AL645882.2,6891292,6892237,1.0635,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,1595462,1596407,1.0635,1
Streptomyces violaceoruber NRRL S-12,NZ_JOCE01000009.1,175216,176161,1.0635,1
Streptomyces violaceoruber JCM 4423,JBHTEW010000002.1,1609639,1610584,1.0635,1
Streptomyces violaceoruber JCM 4423,BAABGV010000355.1,2489,3416,1.0622,1
Streptomyces violaceoruber A36,NZ_JADDRM010000017.1,14388,15333,1.0377,1
Streptomyces violaceoruber A36,JADDRM010000017.1,14388,15294,1.0366,1
Streptomyces violaceoruber S21,CP020570.1,87332,88277,1.0369,1
Streptomyces violaceoruber S21,NZ_CP020570.1,87332,88238,1.0362,1
Streptomyces coelicolor M1154/pAMX4,NZ_JAATOK010000009.1,115226,116171,1.0635,1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000031.1,2041,2986,1.0635,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000033.1,2041,2986,1.0635,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000032.1,87389,88334,1.0635,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000031.1,87390,88335,1.0635,1
Streptomyces coelicolor SKKU 1979,HM031192.1,0,945,1.0635,1
Streptomyces coelicolor,AJ007731.1,1969,2914,1.0635,1
Streptomyces coelicolor M1154/pAMX4/pGP1416,CP050522.1,6878460,6879405,1.0635,1
Streptomyces coelicolor M22,CP133590.1,6892497,6893442,1.0635,1
Streptomyces coelicolor M1152,CP181172.1,6784798,6785743,1.0635,1
Streptomyces coelicolor JCM 4020,AP025454.1,7028311,7029238,1.0622,1
Streptomyces sp. RK76,NZ_JAGPYG010000048.1,2068,3013,1.0635,1
Streptomyces sp. ISBFB 2968,NZ_JAJSYZ010000381.1,2022,2967,1.0635,1
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,1640729,1641674,1.0635,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000016.1,2045,2990,1.0635,1
Streptomyces sp. ME03-5684b,NZ_JARAXO010000067.1,3397,4342,1.0635,1
Streptomyces sp. ME02-6987-2C,NZ_JARAXU010000303.1,7258,8203,1.0635,1
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000017.1,180007,180952,1.0635,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000013.1,3979,4924,1.0635,1
Streptomyces sp. ME02-6977A,NZ_JARAYD010000360.1,2039,2984,1.0635,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000002.1,3033,3978,1.0635,1
Streptomyces sp. WM6391,NZ_JXWX01000129.1,2039,2984,1.0635,1
Streptomyces sp. 2114.2,NZ_LT629768.1,7013993,7014938,1.0635,1
Streptomyces sp. 111WW2,NZ_MUYY01000187.1,2370,3315,1.0635,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,7011493,7012438,1.0635,1
Streptomyces sp. LRa12,NZ_SSBN01000174.1,2411,3356,1.0635,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,6891292,6892237,1.0635,1
Streptomyces sp. E5N91,NZ_RAIE01000178.1,1577,2522,1.0632,1
Streptomyces sp. SID5926,WWHV01000289.1,1815,2760,1.0601,1
Streptomyces sp. NPDC051219,NZ_JBFBAS010000062.1,12295,13246,1.0471,1
Streptomyces sp. SID14515,NZ_JAAGMH010000097.1,279594,280539,1.0416,1
Streptomyces sp. BPSDS2,NZ_STGN01000004.1,383436,384381,1.0416,1
Streptomyces sp. MW-W600-10,NZ_JAGTPS010000001.1,67938,68883,1.0415,1
Streptomyces sp. ME02-6979.5a,NZ_JARAXX010000007.1,68997,69942,1.0414,1
Streptomyces sp. ID03-2B,NZ_JARAZG010000008.1,374463,375408,1.0413,1
Streptomyces sp. WY228,NZ_CP079114.1,144131,145076,1.0412,1
Streptomyces sp. DE06-01C,NZ_JARAZO010000013.1,72584,73529,1.0412,1
Streptomyces sp. CMC78,NZ_AP035884.1,8122371,8123316,1.0412,1
Streptomyces sp. ID01-9D,NZ_JARAZI010000015.1,15818,16763,1.0412,1
Streptomyces sp. JUS-F4,NZ_CP098783.1,131400,132345,1.0411,1
Streptomyces sp. st115,NZ_NTGT01000119.1,16419,17364,1.0411,1
Streptomyces sp. 43Y-GA-1,NZ_JAMFLF010000006.1,390889,391834,1.0411,1
Streptomyces sp. 43Y-GA-1,JAMFLF010000006.1,390970,391834,1.0400,1
Streptomyces sp. NRRL_ISP-5395,NZ_JARAVX010000011.1,66418,67363,1.0410,1
Streptomyces sp. B226SN101,NZ_NEUH01000096.1,5027,5972,1.0410,1
Streptomyces sp. B188M101,NZ_NEUI01000019.1,16376,17321,1.0410,1
Streptomyces sp. NPDC048142,NZ_JBIDBC010000020.1,52532,53477,1.0405,1
Streptomyces sp. MnatMP-M77,NZ_FLTQ01000049.1,310306,311251,1.0403,1
Streptomyces sp. OspMP-M43,NZ_FMCP01000449.1,5001,5946,1.0403,1
Streptomyces sp. SID8364,NZ_WWGO01000039.1,310306,311251,1.0403,1
Streptomyces sp. SID7816,NZ_WWHC01000001.1,8273443,8274388,1.0403,1
Streptomyces sp. SID724,NZ_WWHL01000075.1,6921,7866,1.0403,1
Streptomyces sp. SID4928,NZ_WWJH01000001.1,8519891,8520836,1.0403,1
Streptomyces sp. CA-278952,NZ_CP112880.1,8033346,8034291,1.0403,1
Streptomyces sp. NBUL23,NZ_JBJHQL010000001.1,220926,221871,1.0403,1
Streptomyces sp. NPDC058576,NZ_JBHXPF010000028.1,82808,83753,1.0402,1
Streptomyces sp. NPDC091287,NZ_JBIVUV010000024.1,38194,39139,1.0401,1
Streptomyces sp. SCSIO-PteL053,CP059136.1,50563,51508,1.0400,1
Streptomyces sp. VB1,NZ_CP110539.1,8495864,8496809,1.0400,1
Streptomyces sp. NPDC020755,NZ_JBFADY010000013.1,138417,139362,1.0400,1
Streptomyces sp. NPDC051657,NZ_JBFAZE010000037.1,21542,22487,1.0400,1
Streptomyces sp. NPDC051640,NZ_JBITCZ010000034.1,72388,73333,1.0400,1
Streptomyces sp. McG3,NZ_JAAXYC010000093.1,20062,21007,1.0399,1
Streptomyces sp. NPDC058542,NZ_JBHXOC010000098.1,4978,5923,1.0399,1
Streptomyces sp. NPDC045714,NZ_JBEZAL010000014.1,179715,180660,1.0399,1
Streptomyces sp. CNS654,NZ_JNLT01000022.1,121094,122039,1.0399,1
Streptomyces sp. CC216B,NZ_JASCXK010000051.1,15691,16636,1.0398,1
Streptomyces sp. KL115B,NZ_JASERK010000030.1,15614,16559,1.0398,1
Streptomyces sp. 35M1,NZ_JBCLWP010000019.1,121374,122319,1.0398,1
Streptomyces sp. CB02613,NZ_NNBN01000003.1,85445,86390,1.0398,1
Streptomyces sp. Termitarium-T10T-6,FMCO01000279.1,5589,6534,1.0398,1
Streptomyces sp. CS149,KZ679082.1,47395,48340,1.0397,1
Streptomyces sp. CS149,NZ_KZ679082.1,47395,48283,1.0384,1
Streptomyces sp. NPDC059452,NZ_JBHYVE010000018.1,71851,72802,1.0396,1
Streptomyces sp. PgraA7,NZ_FYEJ01000012.1,158775,159720,1.0396,1
Streptomyces sp. SID8378,NZ_WWGD01000035.1,158775,159720,1.0396,1
Streptomyces sp. CS147,KZ819182.1,138424,139369,1.0396,1
Streptomyces sp. CS147,NZ_KZ819182.1,138424,139312,1.0384,1
Streptomyces sp. CB00271,NZ_CP061072.1,8181411,8182356,1.0396,1
Streptomyces sp. TSRI0261,NZ_LISY01000004.1,87133,88078,1.0396,1
Streptomyces sp. WA6-1-16,NZ_CP084357.1,4006887,4007832,1.0395,1
Streptomyces sp. JL1001,NZ_CP136798.1,93895,94840,1.0395,1
Streptomyces sp. CACIS-1.16CA,NZ_JBITPV010000021.1,30547,31492,1.0395,1
Streptomyces sp. CS131,NZ_KZ819178.1,77267,78212,1.0395,1
Streptomyces sp. SJE177,KR063256.1,1406,2351,1.0395,1
Streptomyces sp. BF-3,NACZ01000052.1,6607,7552,1.0395,1
Streptomyces sp. Cmuel-A718b,FMDG01000149.1,62678,63623,1.0395,1
Streptomyces sp. Cmuel-A718b,NZ_FMDG01000149.1,62678,63566,1.0384,1
Streptomyces sp. 1268,NZ_CP162609.1,4092683,4093628,1.0395,1
Streptomyces sp. ADI98-10,NZ_ML123119.1,737107,738052,1.0395,1
Streptomyces sp. NPDC017556,NZ_JBIRJO010000008.1,168920,169865,1.0394,1
Streptomyces sp. NPDC017413,NZ_JBIRLW010000022.1,75227,76172,1.0394,1
Streptomyces sp. NPDC021019,NZ_JBIRQR010000005.1,75284,76229,1.0394,1
Streptomyces sp. NPDC088729,NZ_JBIVLL010000006.1,217187,218150,1.0394,1
Streptomyces sp. ADI96-02,NZ_ML123034.1,180916,181879,1.0394,1
Streptomyces sp. MNU77,NZ_JXUQ02000001.1,8091412,8092357,1.0394,1
Streptomyces sp. CS057,NZ_KZ195572.1,8276853,8277798,1.0394,1
Streptomyces sp. DH7,NZ_JAHWGO010000009.1,207896,208841,1.0393,1
Streptomyces sp. NPDC091289,NZ_JBIVUT010000031.1,79580,80525,1.0393,1
Streptomyces sp. NPDC026589,NZ_JBEZYG010000005.1,364592,365537,1.0392,1
Streptomyces sp. WAC00303,NZ_CP096281.1,45582,46527,1.0392,1
Streptomyces sp. rh207,NZ_NTGW01000185.1,5296,6241,1.0392,1
Streptomyces sp. rh206,NZ_NTGX01000267.1,5308,6253,1.0392,1
Streptomyces sp. rh195,NZ_NTGY01000035.1,6361,7306,1.0392,1
Streptomyces sp. NPDC058375,NZ_JBHXJG010000162.1,11861,12806,1.0392,1
Streptomyces sp. DH18,NZ_JARVKZ010000006.1,267811,268756,1.0392,1
Streptomyces sp. NPDC017524,NZ_JBIRJZ010000013.1,108240,109185,1.0391,1
Streptomyces sp. Root1295,NZ_LMEL01000023.1,312082,313027,1.0391,1
Streptomyces sp. Root63,NZ_LMGX01000021.1,212201,213146,1.0391,1
Streptomyces sp. NPDC059258,NZ_JBHYZN010000014.1,52430,53375,1.0391,1
Streptomyces sp. NPDC059144,NZ_JBHZCZ010000024.1,47196,48141,1.0391,1
Streptomyces sp. Tu10,NZ_JAHDTJ010000028.1,96024,96969,1.0390,1
Streptomyces sp. WZ.A104,NZ_NWVL01000009.1,3165,4110,1.0390,1
Streptomyces sp. TSRI0395,NZ_LIPE01000007.1,500382,501327,1.0390,1
Streptomyces sp. TRM75563,NZ_JALDPQ010000063.1,366520,367465,1.0390,1
Streptomyces sp. ARC12,NZ_CP096675.1,8458690,8459635,1.0390,1
Streptomyces sp. HB372,JAQFIG010000001.1,158444,159446,1.0390,1
Streptomyces sp. cmx-18-6,NZ_JAEBEP010000010.1,289707,290577,1.0389,1
Streptomyces sp. SID6648,JAAGML010000958.1,282730,283675,1.0389,1
Streptomyces sp. CB02115,NZ_LIVW01000005.1,180790,181735,1.0388,1
Streptomyces sp. or3,NZ_NTHB01000009.1,71198,72143,1.0387,1
Streptomyces sp. NPDC020884,NZ_JBIRRY010000007.1,381095,382040,1.0387,1
Streptomyces sp. NPDC020880,NZ_JBJDQG010000007.1,95019,95964,1.0387,1
Streptomyces sp. SM13,NZ_NEUC01000355.1,26520,27465,1.0387,1
Streptomyces sp. CC216C,NZ_JASCXQ010000191.1,4791,5679,1.0386,1
